"","DataZone2011Code","TDS"
"1","S01006732",-3.428596258
"2","S01006732",-2.533962711
"3","S01006732",-6.192613095
"4","S01006737",-1.758708178
"5","S01006518",-3.545418533
"6","S01006524",0.153189249
"7","S01006517",-3.16082545
"8","S01006506",-2.300930835
"9","S01006506",-3.952311233
"10","S01006755",-1.429105878
"11","S01006732",0.501353412
"12","S01006755",-5.570212328
"13","S01006732",-3.138307846
"14","S01006788",-4.22472978
"15","S01006571",0.822797189
"16","S01006584",-0.62616108
"17","S01006584",2.122012947
"18","S01006585",3.249504338
"19","S01006585",5.24294635
"20","S01006584",-0.705743839
"21","S01006585",-1.709392167
"22","S01006585",2.132139034
"23","S01006585",-0.64028689
"24","S01006585",-0.79358513
"25","S01006585",-0.811896035
"26","S01006586",-0.589717712
"27","S01006586",-1.864513068
"28","S01006586",6.587426142
"29","S01006565",3.814438007
"30","S01006565",0.644989584
"31","S01006586",1.978969809
"32","S01006589",3.143485883
"33","S01006648",4.845914648
"34","S01006648",2.059015535
"35","S01006648",3.437561048
"36","S01006646",1.642594598
"37","S01006646",3.12041015
"38","S01006648",4.199466296
"39","S01006647",1.765888508
"40","S01006648",1.253166215
"41","S01006647",3.946202481
"42","S01006602",-5.439286937
"43","S01006598",-3.527466786
"44","S01006598",-2.479331456
"45","S01006595",-0.993709152
"46","S01006594",-3.84904905
"47","S01006602",-4.517941522
"48","S01006596",-0.626853625
"49","S01006596",-3.374092284
"50","S01006598",-3.850576628
"51","S01006598",-3.475633837
"52","S01006592",-3.071802701
"53","S01006592",-4.876162842
"54","S01006592",-1.672560524
"55","S01006592",-2.99024227
"56","S01006587",4.409629623
"57","S01006593",1.137022742
"58","S01006593",-0.882711761
"59","S01006593",-0.782240983
"60","S01006593",-1.549317382
"61","S01006593",0.278885985
"62","S01006593",-0.99247851
"63","S01006596",-1.080137841
"64","S01006596",-0.090153723
"65","S01006596",0.270220017
"66","S01006596",-1.210441779
"67","S01006595",0.266001377
"68","S01006595",-2.96258626
"69","S01006597",0.974300825
"70","S01006597",0.715069154
"71","S01006597",-1.504710797
"72","S01006597",0.999587232
"73","S01006583",0.247990095
"74","S01006595",-0.567927097
"75","S01006596",-0.903521348
"76","S01006591",-0.074972919
"77","S01006590",1.733362989
"78","S01006590",0.844470846
"79","S01006590",-3.022315669
"80","S01006587",3.195833671
"81","S01006590",1.850408387
"82","S01006582",-0.131051867
"83","S01006587",6.175081623
"84","S01006587",5.05935519
"85","S01006629",7.466821827
"86","S01006629",2.67736211
"87","S01006629",5.434689222
"88","S01006629",6.874784754
"89","S01006629",4.180512626
"90","S01006624",3.389151775
"91","S01006624",-4.058856275
"92","S01006624",-1.585321205
"93","S01006625",0.525978393
"94","S01006625",1.35130081
"95","S01006625",-1.884540728
"96","S01006625",3.07994007
"97","S01006625",0.622183545
"98","S01006624",5.248271771
"99","S01006624",3.807358296
"100","S01006624",2.758244977
"101","S01006624",2.347837947
"102","S01006624",3.891565275
"103","S01006624",3.706320901
"104","S01006628",2.343786155
"105","S01006628",5.41076252
"106","S01006628",4.217545746
"107","S01006628",5.023816795
"108","S01006628",5.541844877
"109","S01006628",2.384326689
"110","S01006628",6.879119041
"111","S01006628",3.442823426
"112","S01006628",6.624925293
"113","S01006627",3.339965303
"114","S01006628",5.468149874
"115","S01006628",4.10458693
"116","S01006627",4.476247874
"117","S01006627",5.748727909
"118","S01006627",5.502885094
"119","S01006628",4.420691786
"120","S01006628",5.855929837
"121","S01006626",4.394175191
"122","S01006626",1.473423734
"123","S01006626",5.512433022
"124","S01006626",-1.0688551
"125","S01006632",6.689036512
"126","S01006632",0.934839947
"127","S01006632",0.992941468
"128","S01006626",3.600895134
"129","S01006629",-1.340090887
"130","S01006626",0.96578021
"131","S01006629",1.917412937
"132","S01006632",4.662077519
"133","S01006633",2.693151808
"134","S01006635",0.712009634
"135","S01006633",5.138784202
"136","S01006633",6.232710795
"137","S01006634",5.376746912
"138","S01006633",6.004990806
"139","S01006634",5.292717944
"140","S01006635",5.363748862
