DataZone,"2011Code	TDS"
S01006732,"	-3.428596258"
S01006732,"	-2.533962711"
S01006732,"	-6.192613095"
S01006737,"	-1.758708178"
S01006518,"	-3.545418533"
S01006524,"	0.153189249"
S01006517,"	-3.16082545"
S01006506,"	-2.300930835"
S01006506,"	-3.952311233"
S01006755,"	-1.429105878"
S01006732,"	0.501353412"
S01006755,"	-5.570212328"
S01006732,"	-3.138307846"
S01006788,"	-4.22472978"
S01006571,"	0.822797189"
S01006584,"	-0.62616108"
S01006584,"	2.122012947"
S01006585,"	3.249504338"
S01006585,"	5.24294635"
S01006584,"	-0.705743839"
S01006585,"	-1.709392167"
S01006585,"	2.132139034"
S01006585,"	-0.64028689"
S01006585,"	-0.79358513"
S01006585,"	-0.811896035"
S01006586,"	-0.589717712"
S01006586,"	-1.864513068"
S01006586,"	6.587426142"
S01006565,"	3.814438007"
S01006565,"	0.644989584"
S01006586,"	1.978969809"
S01006589,"	3.143485883"
S01006648,"	4.845914648"
S01006648,"	2.059015535"
S01006648,"	3.437561048"
S01006646,"	1.642594598"
S01006646,"	3.12041015"
S01006648,"	4.199466296"
S01006647,"	1.765888508"
S01006648,"	1.253166215"
S01006647,"	3.946202481"
S01006602,"	-5.439286937"
S01006598,"	-3.527466786"
S01006598,"	-2.479331456"
S01006595,"	-0.993709152"
S01006594,"	-3.84904905"
S01006602,"	-4.517941522"
S01006596,"	-0.626853625"
S01006596,"	-3.374092284"
S01006598,"	-3.850576628"
S01006598,"	-3.475633837"
S01006592,"	-3.071802701"
S01006592,"	-4.876162842"
S01006592,"	-1.672560524"
S01006592,"	-2.99024227"
S01006587,"	4.409629623"
S01006593,"	1.137022742"
S01006593,"	-0.882711761"
S01006593,"	-0.782240983"
S01006593,"	-1.549317382"
S01006593,"	0.278885985"
S01006593,"	-0.99247851"
S01006596,"	-1.080137841"
S01006596,"	-0.090153723"
S01006596,"	0.270220017"
S01006596,"	-1.210441779"
S01006595,"	0.266001377"
S01006595,"	-2.96258626"
S01006597,"	0.974300825"
S01006597,"	0.715069154"
S01006597,"	-1.504710797"
S01006597,"	0.999587232"
S01006583,"	0.247990095"
S01006595,"	-0.567927097"
S01006596,"	-0.903521348"
S01006591,"	-0.074972919"
S01006590,"	1.733362989"
S01006590,"	0.844470846"
S01006590,"	-3.022315669"
S01006587,"	3.195833671"
S01006590,"	1.850408387"
S01006582,"	-0.131051867"
S01006587,"	6.175081623"
S01006587,"	5.05935519"
S01006629,"	7.466821827"
S01006629,"	2.67736211"
S01006629,"	5.434689222"
S01006629,"	6.874784754"
S01006629,"	4.180512626"
S01006624,"	3.389151775"
S01006624,"	-4.058856275"
S01006624,"	-1.585321205"
S01006625,"	0.525978393"
S01006625,"	1.35130081"
S01006625,"	-1.884540728"
S01006625,"	3.07994007"
S01006625,"	0.622183545"
S01006624,"	5.248271771"
S01006624,"	3.807358296"
S01006624,"	2.758244977"
S01006624,"	2.347837947"
S01006624,"	3.891565275"
S01006624,"	3.706320901"
S01006628,"	2.343786155"
S01006628,"	5.41076252"
S01006628,"	4.217545746"
S01006628,"	5.023816795"
S01006628,"	5.541844877"
S01006628,"	2.384326689"
S01006628,"	6.879119041"
S01006628,"	3.442823426"
S01006628,"	6.624925293"
S01006627,"	3.339965303"
S01006628,"	5.468149874"
S01006628,"	4.10458693"
S01006627,"	4.476247874"
S01006627,"	5.748727909"
S01006627,"	5.502885094"
S01006628,"	4.420691786"
S01006628,"	5.855929837"
S01006626,"	4.394175191"
S01006626,"	1.473423734"
S01006626,"	5.512433022"
S01006626,"	-1.0688551"
S01006632,"	6.689036512"
S01006632,"	0.934839947"
S01006632,"	0.992941468"
S01006626,"	3.600895134"
S01006629,"	-1.340090887"
S01006626,"	0.96578021"
S01006629,"	1.917412937"
S01006632,"	4.662077519"
S01006633,"	2.693151808"
S01006635,"	0.712009634"
S01006633,"	5.138784202"
S01006633,"	6.232710795"
S01006634,"	5.376746912"
S01006633,"	6.004990806"
S01006634,"	5.292717944"
S01006635,"	5.363748862"
S01006634,"	1.818998005"
S01006632,"	5.986751047"
S01006632,"	6.858719173"
S01006635,"	5.676203887"
S01006635,"	1.141305157"
S01006632,"	4.633113901"
S01006632,"	5.458384844"
S01006632,"	1.472704214"
S01006627,"	-0.652507369"
S01006631,"	-0.668318934"
S01006631,"	0.416155369"
S01006631,"	2.195783067"
S01006631,"	1.076371479"
S01006631,"	3.805783719"
S01006631,"	1.691967636"
S01006631,"	4.488460634"
S01006634,"	5.676160391"
S01006636,"	1.654289644"
S01006631,"	2.735535946"
S01006636,"	5.254078843"
S01006636,"	6.281226254"
S01006634,"	5.3761436"
S01006608,"	-2.190028226"
S01006608,"	-5.655504263"
S01006623,"	-2.570432798"
S01006623,"	3.108258351"
S01006630,"	3.532610096"
S01006630,"	4.286388469"
S01006630,"	3.66046043"
S01006633,"	0.433277218"
S01006630,"	4.998767896"
S01006630,"	2.731184878"
S01006630,"	2.185636049"
S01006612,"	-3.530490964"
S01006612,"	-1.99402517"
S01006612,"	-1.089782536"
S01006612,"	-2.661871832"
S01006603,"	-4.91395536"
S01006604,"	-0.987257543"
S01006606,"	-3.558454705"
S01006606,"	-3.363188392"
S01006606,"	-5.600718333"
S01006606,"	1.788667506"
S01006606,"	-0.612794016"
S01006606,"	-1.986423634"
S01006606,"	-0.728092947"
S01006604,"	0.344143462"
S01006606,"	-2.032735322"
S01006604,"	-0.523566146"
S01006604,"	-1.662260601"
S01006604,"	1.676495775"
S01006611,"	4.490064754"
S01006603,"	4.47464854"
S01006603,"	6.044169629"
S01006611,"	4.272696406"
S01006603,"	3.017468066"
S01006603,"	5.516587155"
S01006603,"	2.158647028"
S01006603,"	0.180308696"
S01006612,"	-1.663649597"
S01006603,"	1.595939718"
S01006612,"	-0.931643059"
S01006603,"	-2.324182215"
S01006611,"	1.995132557"
S01006611,"	0.377048193"
S01006611,"	-2.376296854"
S01006611,"	1.343356104"
S01006611,"	2.170484632"
S01006611,"	-1.494027199"
S01006611,"	-2.129102608"
S01006610,"	-0.000376884"
S01006610,"	-1.736539267"
S01006605,"	9.203414396"
S01006605,"	1.928115854"
S01006605,"	0.924324414"
S01006605,"	3.94127469"
S01006605,"	0.868963313"
S01006605,"	-0.220034399"
S01006607,"	0.602716692"
S01006605,"	2.910378205"
S01006607,"	-0.845069319"
S01006609,"	-0.769747017"
S01006609,"	-1.2386117"
S01006609,"	0.641032917"
S01006607,"	1.18090775"
S01006623,"	-0.956439844"
S01006623,"	-1.573157585"
S01006623,"	-1.529141399"
S01006581,"	-5.939146489"
S01006581,"	-2.858915044"
S01006545,"	-0.877000075"
S01006545,"	2.05338363"
S01006581,"	-3.222672413"
S01006581,"	-2.808373452"
S01006544,"	-1.224911111"
S01006544,"	-2.558432168"
S01006544,"	-0.527927513"
S01006544,"	-1.078864715"
S01006574,"	-2.94975327"
S01006574,"	-2.965257935"
S01006581,"	-3.572454826"
S01006581,"	-4.084938766"
S01006581,"	-5.026800112"
S01006575,"	-3.07911974"
S01006575,"	-5.046617236"
S01006575,"	-3.229967878"
S01006575,"	-4.309069325"
S01006575,"	-1.275972776"
S01006576,"	-4.173967981"
S01006576,"	-2.552847752"
S01006576,"	-3.170925418"
S01006576,"	-2.072284541"
S01006576,"	1.38566251"
S01006578,"	-2.15873759"
S01006579,"	0.754992421"
S01006583,"	2.79180741"
S01006571,"	0.350415944"
S01006578,"	-0.449241151"
S01006578,"	-0.806482861"
S01006579,"	2.607900749"
S01006579,"	2.735876425"
S01006579,"	3.776923781"
S01006578,"	3.64523143"
S01006578,"	0.496562131"
S01006578,"	0.7740677"
S01006578,"	-0.380428812"
S01006578,"	1.864297697"
S01006578,"	-0.479362562"
S01006578,"	-0.761723447"
S01006579,"	1.849700668"
S01006576,"	-3.856676316"
S01006578,"	-0.888133887"
S01006576,"	-3.48839951"
S01006580,"	-1.472495366"
S01006580,"	0.173576689"
S01006577,"	0.154662317"
S01006577,"	-2.308197677"
S01006577,"	-5.576169371"
S01006577,"	-2.194264882"
S01006577,"	0.496319941"
S01006577,"	-0.315535184"
S01006533,"	-5.6973848"
S01006539,"	-4.268141665"
